Intention,Usefulness,Ease,Trust,Gender,Condition,AgeGroup
20,50,50,100.0,0,2,0
100,100,90,74.0,0,1,2
70,100,35,25.0,0,2,0
75,77,80,50.0,0,1,2
50,50,50,50.0,0,1,0
0,0,100,100.0,0,0,2
50,50,0,3.0,1,0,2
100,100,100,100.0,0,2,0
12,71,98,50.0,1,1,2
50,50,100,100.0,1,1,0
15,24,35,35.0,1,1,3
23,17,50,0.0,0,1,2
91,91,90,87.0,0,2,2
75,76,50,75.0,0,1,0
0,8,25,75.0,0,0,2
50,50,80,70.0,0,0,3
95,100,96,23.0,1,1,3
65,70,60,80.0,1,1,0
50,50,34,50.0,1,1,0
75,34,38,85.0,1,2,1
73,12,16,50.0,1,2,2
3,20,27,100.0,0,2,3
26,30,32,6.0,1,0,0
2,73,14,13.0,1,0,3
12,30,37,25.0,1,0,1
0,11,5,81.0,1,1,2
100,50,100,100.0,1,1,0
50,50,50,50.0,0,0,3
84,82,84,84.0,0,1,2
50,50,50,29.0,1,2,0
100,100,81,85.0,0,0,0
87,100,80,69.0,1,0,0
3,25,19,80.0,1,0,2
59,58,60,44.0,0,1,2
100,100,99,100.0,1,1,2
25,62,29,19.0,1,2,2
50,30,50,100.0,1,2,0
75,50,50,90.0,1,0,1
87,87,81,81.0,0,2,1
74,72,73,87.0,1,0,2
72,83,83,82.0,0,2,2
90,90,75,90.0,1,0,2
40,23,22,33.0,0,1,2
90,95,70,90.0,0,0,0
90,85,95,81.0,0,0,1
99,96,97,91.0,1,2,2
30,52,100,67.0,1,1,0
88,88,72,100.0,0,2,3
50,98,98,98.0,1,1,2
97,100,83,100.0,0,0,3
71,50,50,90.0,0,2,0
100,100,100,100.0,1,1,0
50,79,86,89.0,0,1,2
70,50,50,91.0,0,2,0
36,27,22,75.0,0,1,2
72,100,50,82.0,1,2,0
30,85,50,50.0,0,2,2
100,100,100,100.0,0,1,0
67,50,50,76.0,0,0,0
20,22,13,32.0,0,1,2
50,46,43,40.0,0,1,0
25,30,50,50.0,1,0,0
11,83,92,91.0,0,1,0
75,50,50,50.0,0,0,2
70,71,49,60.0,1,1,2
0,0,8,50.0,1,1,2
17,22,23,50.0,0,0,3
100,100,86,94.0,0,2,0
75,50,0,100.0,1,0,0
69,50,65,100.0,0,2,0
10,50,20,50.0,1,1,2
61,29,35,29.0,1,1,1
2,5,4,75.0,1,1,2
66,22,50,88.0,1,1,2
97,85,94,94.0,0,0,2
50,66,50,86.0,1,2,1
100,83,81,89.0,1,2,1
50,71,89,60.0,1,2,2
13,59,40,20.0,1,2,0
100,18,80,100.0,1,2,2
45,92,80,50.0,0,1,0
50,95,95,45.0,0,0,0
57,22,74,30.0,0,1,2
99,94,89,50.0,1,2,2
21,44,50,32.0,1,2,2
66,36,29,10.0,0,1,2
43,50,43,41.0,1,1,2
0,29,0,60.0,1,2,2
50,50,50,50.0,1,1,3
100,90,81,90.0,0,0,1
80,68,59,87.0,1,2,1
50,34,24,30.0,1,0,2
80,70,49,79.0,1,2,0
15,26,0,81.0,1,0,0
0,12,11,34.0,0,1,1
100,100,100,100.0,1,1,0
11,30,82,50.0,0,1,2
31,57,31,35.0,1,2,2
13,26,19,6.0,0,2,2
27,0,50,100.0,0,0,2
62,61,61,40.0,0,2,2
72,91,83,91.0,1,1,2
35,25,67,67.0,0,2,3
15,20,24,0.0,0,2,2
41,19,64,0.0,0,1,1
71,0,100,68.0,0,0,1
79,19,50,50.0,0,1,1
100,0,50,92.0,0,1,0
25,50,30,100.0,1,1,2
39,63,50,50.0,0,2,1
100,88,100,100.0,1,2,2
76,34,82,89.0,1,1,1
1,4,6,22.0,1,2,1
62,66,65,63.0,1,1,2
99,92,99,98.0,0,2,2
25,0,56,40.0,1,1,0
72,51,70,30.0,0,0,0
22,30,20,18.0,0,1,2
50,25,50,82.0,1,0,2
50,43,65,50.0,1,1,0
50,62,74,23.0,1,1,0
50,50,100,50.0,1,0,1
100,88,79,72.0,0,0,0
75,74,70,33.0,1,2,0
50,50,35,70.0,0,0,2
100,92,50,74.0,0,2,0
11,17,49,29.0,1,2,1
50,70,50,82.0,0,2,0
50,99,50,93.0,0,0,2
33,65,37,50.0,1,0,1
30,75,30,80.0,0,0,2
34,45,58,40.0,0,1,0
50,50,74,50.0,0,1,2
80,80,80,90.0,0,0,2
74,50,65,83.0,0,2,2
75,26,100,100.0,0,2,2
100,15,50,48.0,0,2,0
50,88,50,99.0,1,1,2
87,65,70,35.0,1,2,0
18,29,7,6.0,1,0,2
70,80,100,75.0,0,2,1
100,100,100,100.0,0,2,0
9,0,0,28.0,1,2,2
0,0,0,43.0,1,1,0
80,80,87,76.0,0,0,2
22,21,23,37.0,1,0,3
100,100,100,87.0,1,2,3
81,88,85,75.0,0,0,1
88,82,80,100.0,0,0,0
50,50,50,75.0,1,0,3
100,100,91,100.0,0,1,2
50,21,23,49.0,1,2,2
50,50,80,80.0,0,0,2
72,83,72,75.0,0,1,0
12,50,20,29.0,1,1,2
20,50,23,30.0,1,2,1
99,100,100,90.0,0,1,0
60,100,61,71.0,1,0,2
40,60,45,41.0,0,0,0
50,75,50,75.0,1,0,1
50,50,40,100.0,1,1,2
90,75,100,30.0,0,2,2
100,100,100,100.0,0,0,2
50,50,50,50.0,0,2,0
0,20,25,50.0,0,0,0
81,98,89,93.0,0,2,0
100,0,100,41.0,0,1,0
57,50,75,83.0,0,2,0
100,14,10,50.0,0,2,0
91,100,50,100.0,0,2,0
100,100,100,100.0,1,0,1
79,67,82,24.0,1,1,0
100,88,63,83.0,1,0,0
50,90,75,50.0,0,0,0
0,28,23,69.0,1,0,2
86,88,100,84.0,0,1,2
100,100,100,100.0,0,0,2
100,90,80,50.0,0,1,0
100,100,100,100.0,1,1,0
77,98,92,71.0,0,0,1
75,100,25,25.0,1,1,1
0,50,50,15.0,1,0,3
50,50,50,100.0,1,1,2
95,50,74,15.0,1,1,1
48,79,99,50.0,0,0,3
100,59,50,100.0,0,1,0
70,70,40,40.0,0,1,3
77,23,78,10.0,0,2,1
25,40,33,75.0,0,2,1
73,14,100,72.0,1,1,0
12,0,37,64.0,0,0,2
73,50,50,84.0,1,2,0
70,100,60,70.0,0,1,0
0,50,50,50.0,0,2,0
81,81,50,50.0,1,2,2
70,83,77,100.0,0,2,0
41,42,100,95.0,0,1,0
100,100,100,100.0,0,0,0
100,100,82,100.0,0,1,0
100,100,64,67.0,0,2,0
38,38,16,22.0,1,1,2
100,92,100,100.0,0,1,0
100,100,100,100.0,1,0,0
1,22,21,2.0,1,0,2
100,100,100,100.0,0,2,0
50,50,50,50.0,0,0,0
50,50,50,40.0,0,0,3
100,100,100,90.0,0,2,0
51,100,100,100.0,0,2,0
50,50,50,35.0,1,1,2
100,100,100,100.0,1,0,1
74,72,73,100.0,0,2,0
100,100,100,100.0,0,2,3
70,50,50,35.0,0,2,2
90,66,44,37.0,0,1,3
100,90,50,50.0,0,2,3
75,85,58,25.0,0,0,2
0,35,10,50.0,0,1,0
50,84,50,50.0,0,2,4
20,50,50,50.0,0,2,0
50,86,50,50.0,1,0,0
0,46,100,0.0,0,0,0
0,0,0,0.0,1,1,0
69,65,0,62.0,1,2,0
45,50,50,41.0,1,2,0
100,50,41,99.0,1,1,2
100,100,100,100.0,1,1,0
100,62,100,0.0,0,1,0
100,100,100,100.0,0,0,0
100,0,100,100.0,0,1,0
100,50,100,100.0,1,2,0
100,100,100,100.0,1,1,0
0,20,0,21.0,1,2,0
0,87,100,100.0,1,2,0
0,100,100,50.0,0,0,0
100,100,100,100.0,1,2,0
100,100,100,100.0,0,1,0
50,50,50,50.0,0,0,0
50,79,35,79.0,0,0,3
34,27,63,34.0,0,0,2
89,81,83,100.0,0,0,3
100,75,50,0.0,0,0,0
49,49,91,91.0,1,1,0
100,100,100,100.0,0,0,0
73,100,100,45.0,0,0,0
20,75,99,100.0,0,1,0
18,24,19,93.0,1,1,1
0,0,2,3.0,1,0,2
0,2,0,1.0,1,2,1
0,32,16,34.0,1,1,1
50,0,100,0.0,0,0,0
20,51,17,40.0,1,0,2
30,100,28,100.0,0,0,0
0,70,42,72.0,0,0,0
81,100,64,100.0,0,0,0
95,84,47,53.0,0,1,0
0,0,0,50.0,1,1,0
100,100,100,100.0,0,2,0
100,100,100,100.0,0,1,0
20,66,22,0.0,1,0,2
100,100,100,77.0,0,0,0
100,100,100,80.0,0,0,0
50,86,34,100.0,1,2,1
87,100,65,100.0,0,0,0
50,100,0,100.0,0,0,0
90,88,85,86.0,1,0,1
100,100,100,97.0,1,0,0
100,100,100,100.0,1,0,0
0,20,50,26.0,1,0,2
33,31,81,50.0,1,1,1
50,40,70,100.0,0,2,0
100,100,100,100.0,0,0,0
100,88,88,93.0,1,2,1
80,80,80,85.0,0,2,3
100,100,85,93.0,0,0,0
71,75,84,42.0,1,2,0
89,78,65,71.0,0,1,2
100,100,100,100.0,0,1,0
90,51,70,56.0,1,2,0
89,78,76,78.0,0,1,0
71,59,64,92.0,1,0,0
47,63,46,33.0,1,2,3
64,64,66,67.0,1,2,0
81,80,80,91.0,0,1,2
22,100,70,7.0,1,1,1
99,100,72,11.0,1,2,0
100,100,100,100.0,1,2,0
100,100,100,100.0,0,0,3
83,85,85,87.0,1,0,2
0,10,0,77.0,1,2,2
50,66,4,2.0,1,0,2
100,100,100,100.0,0,0,0
100,84,67,68.0,0,0,0
6,0,0,0.0,1,1,3
65,64,63,59.0,0,2,0
69,88,98,47.0,1,2,1
0,100,100,100.0,0,0,0
50,17,50,50.0,1,1,2
73,10,67,55.0,0,0,0
100,100,96,86.0,0,0,2
68,96,88,94.0,0,2,2
75,76,84,99.0,0,0,3
25,50,27,86.0,0,0,1
31,28,30,29.0,0,2,1
100,100,100,100.0,0,1,0
100,100,80,50.0,1,0,0
80,77,98,28.0,0,0,2
60,100,32,78.0,0,0,0
75,90,95,100.0,1,1,1
0,6,0,0.0,1,2,1
50,57,36,12.0,0,2,2
50,50,50,50.0,0,2,1
100,100,100,100.0,1,2,0
100,100,0,99.0,0,2,4
100,87,90,78.0,1,1,0
50,50,100,50.0,1,0,0
100,100,100,100.0,0,2,0
100,100,100,100.0,1,1,2
0,11,5,0.0,1,1,1
86,97,77,96.0,0,0,3
